SID,Name,GroupNM,Group,Trial,Probe,Response,Correct,RT
128,PSY,low,1,6,1,1,1,0.5255
128,PSY,low,1,7,2,2,1,1.3545
128,PSY,low,1,8,2,2,1,1.1651
128,PSY,low,1,9,2,2,1,1.2367
128,PSY,low,1,10,1,1,1,0.6596
128,PSY,low,1,11,1,1,1,0.7283
128,PSY,low,1,12,2,2,1,1.3712
129,JS,low,1,1,2,0,0,0.0000
129,JS,low,1,2,1,1,1,1.3135
129,JS,low,1,3,1,1,1,1.5107
129,JS,low,1,4,2,0,0,0.0000
129,JS,low,1,5,1,1,1,0.8629
129,JS,low,1,6,1,1,1,0.4510
129,JS,low,1,7,2,2,1,1.3316
129,JS,low,1,8,2,2,1,0.8558
129,JS,low,1,9,1,1,1,0.7987
129,JS,low,1,10,2,1,0,1.4857
129,JS,low,1,11,2,2,1,0.7544
129,JS,low,1,12,1,1,1,0.4723
130,KYJ,low,1,1,2,2,1,1.5328
130,KYJ,low,1,2,1,1,1,1.2195
130,KYJ,low,1,3,1,1,1,0.6791
130,KYJ,low,1,4,2,2,1,0.9868
130,KYJ,low,1,5,1,1,1,0.7336
130,KYJ,low,1,6,1,1,1,0.4213
130,KYJ,low,1,7,2,2,1,1.1719
130,KYJ,low,1,8,2,2,1,0.5709
130,KYJ,low,1,9,1,1,1,0.5765
130,KYJ,low,1,10,2,2,1,0.7523
130,KYJ,low,1,11,2,2,1,0.5664
130,KYJ,low,1,12,1,2,0,0.9855
133,KMJ,low,1,1,1,1,1,1.5325
133,KMJ,low,1,2,2,2,1,1.2806
133,KMJ,low,1,3,2,2,1,1.3807
133,KMJ,low,1,4,2,2,1,1.1416
133,KMJ,low,1,5,1,1,1,0.8251
133,KMJ,low,1,6,1,1,1,0.6384
133,KMJ,low,1,7,1,1,1,0.5972
133,KMJ,low,1,8,2,2,1,1.1446
133,KMJ,low,1,9,2,2,1,0.9273
133,KMJ,low,1,10,1,1,1,0.6993
133,KMJ,low,1,11,2,2,1,0.8312
133,KMJ,low,1,12,1,1,1,0.5179
134,JEH,low,1,1,1,1,1,1.1382
134,JEH,low,1,2,2,2,1,1.2080
134,JEH,low,1,3,2,2,1,1.1809
134,JEH,low,1,4,2,2,1,0.7798
